Year,Country,Total
1996,Algeria,100.0
1998,Algeria,107.0
2005,Algeria,111.0
2006,Algeria,106.0
2007,Algeria,110.0
2008,Algeria,111.0
2009,Algeria,119.0
2010,Algeria,118.0
2011,Algeria,125.0
2012,Algeria,136.0
2013,Algeria,141.0
2014,Algeria,151.0
2015,Algeria,160.0
2016,Algeria,158.0
2017,Algeria,165.0
2018,Algeria,171.0
2019,Algeria,179.0
2020,Algeria,170.0
2021,Algeria,180.0
2022,Algeria,176.0
1976,Argentina,100.0
1977,Argentina,101.0
1978,Argentina,103.0
1979,Argentina,111.0
1980,Argentina,109.0
1981,Argentina,102.0
1982,Argentina,103.0
1983,Argentina,105.0
1984,Argentina,106.0
1985,Argentina,101.0
1986,Argentina,104.0
1987,Argentina,115.0
1988,Argentina,121.0
1989,Argentina,117.0
1990,Argentina,112.0
1991,Argentina,118.0
1992,Argentina,121.0
1993,Argentina,118.0
1994,Argentina,118.0
1995,Argentina,125.0
1996,Argentina,131.0
1997,Argentina,137.0
1998,Argentina,139.0
1999,Argentina,148.0
2000,Argentina,143.0
2001,Argentina,134.0
2002,Argentina,124.0
2003,Argentina,134.0
2004,Argentina,157.0
2005,Argentina,161.0
2006,Argentina,174.0
2007,Argentina,173.0
2008,Argentina,187.0
2009,Argentina,178.0
2010,Argentina,186.0
2011,Argentina,190.0
2012,Argentina,191.0
2013,Argentina,190.0
2014,Argentina,188.0
2015,Argentina,192.0
2016,Argentina,190.0
2017,Argentina,187.0
2018,Argentina,181.0
2019,Argentina,179.0
2020,Argentina,167.0
2021,Argentina,190.0
2022,Argentina,193.0
1964,Australia,104.0
1965,Australia,114.0
1966,Australia,116.0
1967,Australia,122.0
1968,Australia,129.0
1969,Australia,136.0
1970,Australia,148.0
1971,Australia,151.0
1972,Australia,154.0
1973,Australia,170.0
1974,Australia,166.0
1975,Australia,173.0
1976,Australia,170.0
1977,Australia,182.0
1978,Australia,191.0
1979,Australia,192.0
1980,Australia,204.0
1981,Australia,214.0
1982,Australia,218.0
1983,Australia,208.0
1984,Australia,218.0
1985,Australia,225.0
1986,Australia,224.0
1987,Australia,235.0
1988,Australia,241.0
1989,Australia,257.0
1990,Australia,278.0
1991,Australia,280.0
1992,Australia,285.0
1993,Australia,289.0
1994,Australia,294.0
1995,Australia,305.0
1996,Australia,312.0
1997,Australia,320.0
1998,Australia,334.0
1999,Australia,344.0
2000,Australia,350.0
2001,Australia,358.0
2002,Australia,363.0
2003,Australia,369.0
2004,Australia,383.0
2005,Australia,386.0
2006,Australia,392.0
2007,Australia,400.0
2008,Australia,404.0
2009,Australia,407.0
2010,Australia,406.0
2011,Australia,404.0
2012,Australia,407.0
2013,Australia,399.0
2014,Australia,393.0
2015,Australia,401.0
2016,Australia,410.0
2017,Australia,414.0
2018,Australia,415.0
2019,Australia,416.0
2020,Australia,397.0
2021,Australia,387.0
2022,Australia,392.0
2019,Bangladesh,101.0
2022,Bangladesh,102.0
1985,Belarus,107.0
1986,Belarus,122.0
1987,Belarus,112.0
1988,Belarus,114.0
1989,Belarus,109.0
1990,Belarus,108.0
1991,Belarus,104.0
1963,Belgium,106.0
1964,Belgium,104.0
1965,Belgium,105.0
1966,Belgium,105.0
1967,Belgium,107.0
1968,Belgium,118.0
1969,Belgium,123.0
1970,Belgium,125.0
1971,Belgium,121.0
1972,Belgium,131.0
1973,Belgium,139.0
1974,Belgium,135.0
1975,Belgium,122.0
1976,Belgium,130.0
1977,Belgium,126.0
1978,Belgium,135.0
1979,Belgium,140.0
1980,Belgium,135.0
1981,Belgium,124.0
1982,Belgium,117.0
1983,Belgium,101.0
1984,Belgium,105.0
1985,Belgium,104.0
1986,Belgium,102.0
1987,Belgium,103.0
1988,Belgium,100.0
1989,Belgium,107.0
1990,Belgium,120.0
1991,Belgium,123.0
1992,Belgium,122.0
1993,Belgium,121.0
1994,Belgium,125.0
1995,Belgium,126.0
1996,Belgium,129.0
1997,Belgium,124.0
1998,Belgium,130.0
1999,Belgium,125.0
2000,Belgium,127.0
2001,Belgium,126.0
2002,Belgium,127.0
2003,Belgium,128.0
2004,Belgium,129.0
2005,Belgium,126.0
2006,Belgium,124.0
2007,Belgium,120.0
2008,Belgium,120.0
2009,Belgium,108.0
2010,Belgium,115.0
2011,Belgium,105.0
2012,Belgium,102.0
2013,Belgium,103.0
2015,Belgium,101.0
2016,Belgium,100.0
2018,Belgium,100.0
1971,Brazil,102.0
1972,Brazil,114.0
1973,Brazil,132.0
1974,Brazil,143.0
1975,Brazil,150.0
1976,Brazil,155.0
1977,Brazil,162.0
1978,Brazil,177.0
1979,Brazil,188.0
1980,Brazil,186.0
1981,Brazil,171.0
1982,Brazil,172.0
1983,Brazil,166.0
1984,Brazil,168.0
1985,Brazil,180.0
1986,Brazil,197.0
1987,Brazil,206.0
1988,Brazil,208.0
1989,Brazil,212.0
1990,Brazil,219.0
1991,Brazil,229.0
1992,Brazil,234.0
1993,Brazil,244.0
1994,Brazil,254.0
1995,Brazil,269.0
1996,Brazil,289.0
1997,Brazil,307.0
1998,Brazil,317.0
1999,Brazil,327.0
2000,Brazil,340.0
2001,Brazil,346.0
2002,Brazil,348.0
2003,Brazil,345.0
2004,Brazil,361.0
2005,Brazil,364.0
2006,Brazil,369.0
2007,Brazil,391.0
2008,Brazil,413.0
2009,Brazil,390.0
2010,Brazil,440.0
2011,Brazil,463.0
2012,Brazil,498.0
2013,Brazil,532.0
